place_code,date,mankai_date,kaika_date,meter,ft,tavg,tmin,tmax,tavg_f,tmin_f,tmax_f,prcp,pcp_in
1370053,2/1/24,5/12/24,5/7/24,12,3.6576,-7.8,-11.4,-5.3,17.96,11.48,22.46,4.1,0.16141741
1370022,2/1/24,5/3/24,4/29/24,12,3.6576,-4.2,-7.6,0.5,24.44,18.32,32.9,0.3,0.01181103
1370024,2/1/24,5/9/24,5/4/24,10,3.048,-4.2,-7.6,0.5,24.44,18.32,32.9,0.3,0.01181103
1370028,2/1/24,5/10/24,5/4/24,13,3.9624,-5.6,-6.8,-4.5,21.92,19.76,23.9,0,0
1370029,2/1/24,5/9/24,5/6/24,13,3.9624,,,,32,32,32,,0
1370030,2/1/24,5/15/24,5/9/24,12,3.6576,-7.1,-7.8,-1.1,19.22,17.96,30.02,3,0.1181103
1370032,2/1/24,5/10/24,5/5/24,11,3.3528,-5.2,-8,0,22.64,17.6,32,2.6,0.10236226
1370041,2/1/24,5/13/24,5/5/24,12,3.6576,-2.6,-4.9,4,27.32,23.18,39.2,5,0.1968505
1370046,2/1/24,5/12/24,5/7/24,11,3.3528,,,,32,32,32,,0
1370055,2/1/24,5/9/24,5/3/24,11,3.3528,,,,32,32,32,,0
1370057,2/1/24,5/2/24,4/28/24,12,3.6576,-4.2,-7.6,0.5,24.44,18.32,32.9,0.3,0.01181103
1370061,2/1/24,5/18/24,5/15/24,9,2.7432,-2.6,-4.9,4,27.32,23.18,39.2,5,0.1968505
1370017,2/1/24,5/11/24,5/4/24,11,3.3528,-6.7,-6,-5.5,19.94,21.2,22.1,7.9,0.31102379
1370056,2/1/24,5/10/24,5/5/24,10,3.048,-4.2,-7.6,0.5,24.44,18.32,32.9,0.3,0.01181103
1370010,2/1/24,5/7/24,5/3/24,12,3.6576,-6.2,-10.4,-0.2,20.84,13.28,31.64,0,0
1370015,2/1/24,5/5/24,5/2/24,10,3.048,-4.3,-6.5,0.6,24.26,20.3,33.08,1.5,0.05905515
2370001,2/1/24,4/26/24,4/21/24,14,4.2672,-4.2,-7.6,1.9,24.44,18.32,35.42,7.4,0.29133874
2370002,2/1/24,4/23/24,4/18/24,16,4.8768,-3.2,-6,0.1,26.24,21.2,32.18,1,0.0393701
2370013,2/1/24,4/26/24,4/21/24,16,4.8768,-1.9,-6,4,28.58,21.2,39.2,0.4,0.01574804
2370004,2/1/24,4/26/24,4/21/24,14,4.2672,-0.9,-4.3,4.9,30.38,24.26,40.82,6.2,0.24409462
2370005,2/1/24,4/25/24,4/20/24,16,4.8768,-1.5,-6,4.6,29.3,21.2,40.28,0.1,0.00393701
2370016,2/1/24,4/26/24,4/22/24,14,4.2672,-4.2,-7.6,1.9,24.44,18.32,35.42,7.4,0.29133874
2370015,2/1/24,5/1/24,4/26/24,13,3.9624,-3.8,-7.3,-1.7,25.16,18.86,28.94,3,0.1181103
2370020,2/1/24,4/26/24,4/23/24,12,3.6576,-1.9,-6,4,28.58,21.2,39.2,0.4,0.01574804
2370007,2/1/24,4/26/24,4/21/24,14,4.2672,-1.5,-6,4.6,29.3,21.2,40.28,0.1,0.00393701
2370008,2/1/24,4/24/24,4/18/24,16,4.8768,-1.5,-6,4.6,29.3,21.2,40.28,0.1,0.00393701
