prefecture,spot_name,lat,lon,code
Hokkaido Island,"Higashimei Park, Bibai City",43.34098477,141.8955809,1370053
Hokkaido Island,Goryokaku Park,41.79709,140.7557367,1370022
Hokkaido Island,Aobagaoka Park,42.10265417,140.5756076,1370024
Hokkaido Island,Uju Zenkoji Temple Natural Park,42.52299279,140.7806712,1370028
Hokkaido Island,Nijukken Road Cherry Blossom Row,42.40390473,142.4523578,1370029
Hokkaido Island,Erimo Town Shono Sakura Park,42.04462783,143.2923746,1370030
Hokkaido Island,Moerenuma Park,43.12251002,141.4308196,1370032
Hokkaido Island,Kumaishi Rest Village (Somei Yoshino),42.1306512,140.0047437,1370041
Hokkaido Island,Saranbe Park,42.25668209,140.2549971,1370046
Hokkaido Island,Oniiushi Park,42.10134418,140.5684182,1370055
Hokkaido Island,Hakodate Park,41.75530378,140.7163319,1370057
Hokkaido Island,Kumaishi Rest Village (Yaezakura),42.13074121,140.0054436,1370061
Hokkaido Island,Otaru Park,43.18794096,140.9926799,1370017
Hokkaido Island,Site of the Matsumae Domain Togiri Headquarters,41.85433805,140.6194315,1370056
Hokkaido Island,Obihiro City Midorigaoka Park,42.904514,143.1862538,1370010
Hokkaido Island,Maruyama Park,43.05468524,141.3142724,1370015
Aomori Prefecture,Saruga Park,40.61667292,140.5648269,2370001
Aomori Prefecture,Hachinohe Park,40.47569457,141.5132946,2370002
Aomori Prefecture,Towada City Government Office Street (Koma Kaido),40.61243458,141.2062838,2370013
Aomori Prefecture,Nogiwa Park,40.85181972,140.6766968,2370004
Aomori Prefecture,Ichou Park,40.60882901,141.4378647,2370005
Aomori Prefecture,Higashi Park Sakurayama,40.63505175,140.6104722,2370016
Aomori Prefecture,Hayagakinuma Park,41.31413982,141.2231501,2370015
Aomori Prefecture,Ogawara Lake Park,40.73075323,141.2811321,2370020
Aomori Prefecture,National Historic Site Sannohe Castle Ruins Shiroyama Park,40.38176029,141.2655495,2370007
Aomori Prefecture,Sanba City Park,40.51492992,141.4875549,2370008
Aomori Prefecture,Atago Park,40.86265655,141.1335483,2370009
Aomori Prefecture,Hepu Park,40.82982386,140.7784993,2370010
Aomori Prefecture,Lake Fujimi Park,40.75136518,140.3737665,2370018
Aomori Prefecture,Somei Yoshino Cherry Blossoms in Hirosaki Park,40.609462,140.4676953,2370011
